recordid,region_code,region_name,variance
1,R0,Region_0,"REGION_CODE=rare_value, REGION_NAME=rare_value"
2,R1,Region_1,"REGION_CODE=rare_value, REGION_NAME=rare_value"
3,R2,Region_2,"REGION_CODE=rare_value, REGION_NAME=rare_value"
4,R3,Region_3,"REGION_CODE=rare_value, REGION_NAME=rare_value"
5,R4,Region_4,"REGION_CODE=rare_value, REGION_NAME=rare_value"
6,R5,Region_5,"REGION_CODE=rare_value, REGION_NAME=rare_value"
7,R6,Region_6,"REGION_CODE=rare_value, REGION_NAME=rare_value"
8,R7,Region_7,"REGION_CODE=rare_value, REGION_NAME=rare_value"
9,R8,Region_8,"REGION_CODE=rare_value, REGION_NAME=rare_value"
10,R9,Region_9,"REGION_CODE=rare_value, REGION_NAME=rare_value"
11,R10,Region_10,"REGION_CODE=rare_value, REGION_NAME=rare_value"
12,R11,Region_11,"REGION_CODE=rare_value, REGION_NAME=rare_value"
13,R12,Region_12,"REGION_CODE=rare_value, REGION_NAME=rare_value"
14,R13,Region_13,"REGION_CODE=rare_value, REGION_NAME=rare_value"
15,R14,Region_14,"REGION_CODE=rare_value, REGION_NAME=rare_value"
16,R15,Region_15,"REGION_CODE=rare_value, REGION_NAME=rare_value"
17,R16,Region_16,"REGION_CODE=rare_value, REGION_NAME=rare_value"
18,R17,Region_17,"REGION_CODE=rare_value, REGION_NAME=rare_value"
19,R18,Region_18,"REGION_CODE=rare_value, REGION_NAME=rare_value"
20,R19,Region_19,"REGION_CODE=rare_value, REGION_NAME=rare_value"
21,R20,Region_20,"REGION_CODE=rare_value, REGION_NAME=rare_value"
22,R21,Region_21,"REGION_CODE=rare_value, REGION_NAME=rare_value"
23,R22,Region_22,"REGION_CODE=rare_value, REGION_NAME=rare_value"
24,R23,Region_23,"REGION_CODE=rare_value, REGION_NAME=rare_value"
25,R24,Region_24,"REGION_CODE=rare_value, REGION_NAME=rare_value"
26,R25,Region_25,"REGION_CODE=rare_value, REGION_NAME=rare_value"
27,R26,Region_26,"REGION_CODE=rare_value, REGION_NAME=rare_value"
28,R27,Region_27,"REGION_CODE=rare_value, REGION_NAME=rare_value"
29,R28,Region_28,"REGION_CODE=rare_value, REGION_NAME=rare_value"
30,R29,Region_29,"REGION_CODE=rare_value, REGION_NAME=rare_value"
31,R30,Region_30,"REGION_CODE=rare_value, REGION_NAME=rare_value"
32,R31,Region_31,"REGION_CODE=rare_value, REGION_NAME=rare_value"
33,R32,Region_32,"REGION_CODE=rare_value, REGION_NAME=rare_value"
34,R33,Region_33,"REGION_CODE=rare_value, REGION_NAME=rare_value"
35,R34,Region_34,"REGION_CODE=rare_value, REGION_NAME=rare_value"
36,R35,Region_35,"REGION_CODE=rare_value, REGION_NAME=rare_value"
37,R36,Region_36,"REGION_CODE=rare_value, REGION_NAME=rare_value"
38,R37,Region_37,"REGION_CODE=rare_value, REGION_NAME=rare_value"
39,R38,Region_38,"REGION_CODE=rare_value, REGION_NAME=rare_value"
40,R39,Region_39,"REGION_CODE=rare_value, REGION_NAME=rare_value"
41,R40,Region_40,"REGION_CODE=rare_value, REGION_NAME=rare_value"
42,R41,Region_41,"REGION_CODE=rare_value, REGION_NAME=rare_value"
43,R42,Region_42,"REGION_CODE=rare_value, REGION_NAME=rare_value"
44,R43,Region_43,"REGION_CODE=rare_value, REGION_NAME=rare_value"
45,R44,Region_44,"REGION_CODE=rare_value, REGION_NAME=rare_value"
46,R45,Region_45,"REGION_CODE=rare_value, REGION_NAME=rare_value"
47,R46,Region_46,"REGION_CODE=rare_value, REGION_NAME=rare_value"
48,R47,Region_47,"REGION_CODE=rare_value, REGION_NAME=rare_value"
49,R48,Region_48,"REGION_CODE=rare_value, REGION_NAME=rare_value"
50,R49,Region_49,"REGION_CODE=rare_value, REGION_NAME=rare_value"
